File,Title,Publisher,Publication Year,Accession ID,Last Updated (YYYY-MM-DD HH:MM:SS)
e9/8f/erta7_NBK32991.tar.gz,Treatment of Depression: Newer Pharmacotherapies,Agency for Healthcare Research and Quality (US),1999,NBK32991,2012-07-09 18:44:36
00/71/erta8_NBK33017.tar.gz,Diagnosis and Treatment of Swallowing Disorders (Dysphagia) in Acute-Care Stroke Patients,Agency for Healthcare Research and Quality (US),1999,NBK33017,2012-07-09 18:45:31
3f/0d/erta9_NBK33036.tar.gz,Diagnosis and Treatment of Acute Bacterial Rhinosinusitis,Agency for Healthcare Research and Quality (US),1999,NBK33036,2012-07-09 18:41:58
71/69/erta9s_NBK33049.tar.gz,Diagnosis and Treatment of Uncomplicated Acute Sinusitis in Children (Supplement),Agency for Healthcare Research and Quality (US),2000,NBK33049,2014-08-26 02:37:36
26/c2/erta10_NBK33055.tar.gz,"An Evaluation of Beta-Blockers, Calcium Antagonists, Nitrates, and Alternative Therapies for Stable Angina",Agency for Healthcare Research and Quality (US),1999,NBK33055,2012-07-09 18:44:58
2e/b2/erta11_NBK33078.tar.gz,Treatment of Attention-Deficit/Hyperactivity Disorder,Agency for Healthcare Research and Quality (US),1999,NBK33078,2012-07-09 18:40:16
39/e3/erta12_NBK33108.tar.gz,Management of New Onset Atrial Fibrillation,Agency for Healthcare Research and Quality (US),2001,NBK33108,2012-07-09 18:38:28
69/36/erta13_NBK33125.tar.gz,Determinants of Disability in Patients With Chronic Renal Failure,Agency for Healthcare Research and Quality (US),2000,NBK33125,2012-07-09 18:37:39
5f/c1/erta14_NBK33137.tar.gz,Management of Chronic Hypertension During Pregnancy,Agency for Healthcare Research and Quality (US),2000,NBK33137,2012-07-09 18:38:48
4c/96/erta15_NBK33163.tar.gz,Management of Acute Otitis Media,Agency for Healthcare Research and Quality (US),2001,NBK33163,2012-07-09 18:46:03
e1/f9/erta16_NBK33179.tar.gz,Anesthesia Management During Cataract Surgery,Agency for Healthcare Research and Quality (US),2001,NBK33179,2012-07-09 18:46:32
87/c9/erta17_NBK33218.tar.gz,Management of Acne,Agency for Healthcare Research and Quality (US),2001,NBK33218,2012-07-09 18:38:38
eb/e0/erta18_NBK33232.tar.gz,Management of Preterm Labor,Agency for Healthcare Research and Quality (US),2000,NBK33232,2012-07-09 18:44:54
f9/71/erta19_NBK33246.tar.gz,Management of Acute Exacerbations of Chronic Obstructive Pulmonary Disease,Agency for Healthcare Research and Quality (US),2001,NBK33246,2012-07-09 18:44:17
7a/08/erta20_NBK33263.tar.gz,"Garlic: Effects on Cardiovascular Risks and Disease, Protective Effects Against Cancer, and Clinical Adverse Effects",Agency for Healthcare Research and Quality (US),2000,NBK33263,2012-07-09 18:41:24
c4/39/erta21_NBK33277.tar.gz,Milk Thistle: Effects on Liver Disease and Cirrhosis and Clinical Adverse Effects,Agency for Healthcare Research and Quality (US),2000,NBK33277,2012-07-09 18:39:57
3d/05/erta22_NBK33295.tar.gz,Prevention of Venous Thromboembolism After Injury,Agency for Healthcare Research and Quality (US),2000,NBK33295,2012-07-09 18:46:51
75/40/erta23_NBK33323.tar.gz,Criteria for Weaning from Mechanical Ventilation,Agency for Healthcare Research and Quality (US),2000,NBK33323,2012-07-09 18:44:10
28/85/erta24_NBK33341.tar.gz,Telemedicine for the Medicare Population,Agency for Healthcare Research and Quality (US),2001,NBK33341,2012-07-09 18:42:14
00/54/erta25_NBK33359.tar.gz,The Efficacy of Interventions to Modify Dietary Behavior Related to Cancer Risk,Agency for Healthcare Research and Quality (US),2001,NBK33359,2016-02-14 02:42:20
d2/c4/es38_NBK33370.tar.gz,Screening for Human Immunodeficiency Virus in Adolescents and Adults,Agency for Healthcare Research and Quality (US),2005,NBK33370,2012-07-09 18:38:31
20/a3/es39_NBK33383.tar.gz,Screening for Human Immunodeficiency Virus in Pregnant Women,Agency for Healthcare Research and Quality (US),2005,NBK33383,2012-07-09 18:44:41
b7/9d/es40_NBK33399.tar.gz,Screening for Iron Deficiency Anemia in Childhood and Pregnancy: Update of the 1996 U.S. Preventive Task Force Review,Agency for Healthcare Research and Quality (US),2006,NBK33399,2015-11-13 02:37:21
9f/8d/es41_NBK33412.tar.gz,Screening for Speech and Language Delay in Preschool Children,Agency for Healthcare Research and Quality (US),2006,NBK33412,2012-07-09 18:46:09
7d/1d/es42_NBK33422.tar.gz,Screening for Developmental Dysplasia of the Hip,Agency for Healthcare Research and Quality (US),2006,NBK33422,2012-07-09 18:41:56
0d/f5/es43_NBK33435.tar.gz,Screening for Hereditary Hemochromatosis: A Focused Evidence Review,Agency for Healthcare Research and Quality (US),2006,NBK33435,2015-11-13 02:37:22
dc/bb/es44_NBK33447.tar.gz,Screening for Elevated Lead Levels in Childhood and Pregnancy: Update of a 1996 U.S. Preventive Services Task Force Review,Agency for Healthcare Research and Quality (US),2006,NBK33447,2015-11-13 02:37:15
d1/45/es45_NBK33464.tar.gz,Use of Aspirin and NSAIDs to Prevent Colorectal Cancer,Agency for Healthcare Research and Quality (US),2007,NBK33464,2015-11-13 02:37:14
d4/f3/es46_NBK33475.tar.gz,Screening for Human Immunodeficiency Virus: Focused Update of a 2005 Systematic Evidence Review for the U.S. Preventive Services Task Force,Agency for Healthcare Research and Quality (US),2007,NBK33475,2015-11-13 02:37:11
fb/1e/es47_NBK33480.tar.gz,Screening for Lipid Disorders in Children and Adolescents,Agency for Healthcare Research and Quality (US),2007,NBK33480,2015-11-13 02:37:24
71/ce/es49_NBK33494.tar.gz,Screening for Lipid Disorders in Adults: Selective Update of 2001 US Preventive Services Task Force Review,Agency for Healthcare Research and Quality (US),2008,NBK33494,2014-10-16 02:37:28
11/62/es50_NBK33504.tar.gz,Screening For Asymptomatic Carotid Artery Stenosis,Agency for Healthcare Research and Quality (US),2007,NBK33504,2012-07-09 18:44:29
b5/ea/hsertacollect_NBK33514.tar.gz,AHRQ Evidence Reports,Agency for Healthcare Research and Quality (US),1999,NBK33514,2018-10-02 02:37:21
3c/c4/erta26_NBK33519.tar.gz,Evaluation of Technologies for Identifying Acute Cardiac Ischemia in Emergency Departments,Agency for Healthcare Research and Quality (US),2001,NBK33519,2012-07-09 18:43:31
03/49/erta27_NBK33536.tar.gz,Treatment of Pulmonary Disease Following Cervical Spinal Cord Injury,Agency for Healthcare Research and Quality (US),2001,NBK33536,2012-07-09 18:44:25
ec/ca/erta28_NBK33556.tar.gz,Osteoporosis in Postmenopausal Women: Diagnosis and Monitoring,Agency for Healthcare Research and Quality (US),2001,NBK33556,2012-07-09 18:39:47
ed/55/erta29_NBK33568.tar.gz,Use of Epoetin for Anemia in Chronic Renal Failure,Agency for Healthcare Research and Quality (US),2001,NBK33568,2012-07-09 18:45:49
5b/34/erta30_NBK33589.tar.gz,Uses of Epoetin for Anemia in Oncology,Agency for Healthcare Research and Quality (US),2001,NBK33589,2012-07-09 18:38:22
13/74/erta31_NBK33602.tar.gz,Prediction of Risk for Patients with Unstable Angina,Agency for Healthcare Research and Quality (US),2000,NBK33602,2012-07-09 18:42:07
0f/ef/erta32_NBK33617.tar.gz,Treatment of Degenerative Lumbar Spinal Stenosis,Agency for Healthcare Research and Quality (US),2001,NBK33617,2012-07-09 18:45:04
af/fc/erta33_NBK33632.tar.gz,Diagnosis and Management of Specific Breast Abnormalities,Agency for Healthcare Research and Quality (US),2001,NBK33632,2012-07-09 18:46:35
46/00/erta34_NBK33644.tar.gz,Management of Uterine Fibroids,Agency for Healthcare Research and Quality (US),2001,NBK33644,2012-07-09 18:41:51
66/20/erta35_NBK33664.tar.gz,Management of Cancer Pain,Agency for Healthcare Research and Quality (US),2001,NBK33664,2012-07-09 18:45:11
2d/80/erta36_NBK33684.tar.gz,Diagnosis and Management of Dental Caries,Agency for Healthcare Research and Quality (US),2001,NBK33684,2012-07-09 18:42:38
71/60/erta37_NBK33702.tar.gz,Management of Dental Patients Who Are HIV-Positive,Agency for Healthcare Research and Quality (US),2002,NBK33702,2012-07-09 18:38:33
8e/0e/erta38_NBK33731.tar.gz,Treatment of Coexisting Cataract and Glaucoma,Agency for Healthcare Research and Quality (US),2003,NBK33731,2012-07-09 18:39:52
e5/bf/erta39_NBK33744.tar.gz,Management of Newly Diagnosed Patients with Epilepsy: A Systematic Review of the Literature,Agency for Healthcare Research and Quality (US),2001,NBK33744,2012-07-09 18:39:14
fb/a1/erta40_NBK33758.tar.gz,Mind-Body Interventions for Gastrointestinal Conditions,Agency for Healthcare Research and Quality (US),2001,NBK33758,2012-07-09 18:38:51
41/74/erta41_NBK33787.tar.gz,Ayurvedic Interventions for Diabetes Mellitus: A Systematic Review,Agency for Healthcare Research and Quality (US),2001,NBK33787,2012-07-09 18:41:01
71/f4/erta42_NBK33797.tar.gz,Defining and Managing Chronic Fatigue Syndrome,Agency for Healthcare Research and Quality (US),2001,NBK33797,2012-07-09 18:45:38
44/d5/erta44_NBK33814.tar.gz,Management of Chronic Asthma,Agency for Healthcare Research and Quality (US),2001,NBK33814,2012-07-09 18:43:49
ae/82/erta45_NBK33834.tar.gz,Management of Chronic Central Neuropathic Pain Following Traumatic Spinal Cord Injury,Agency for Healthcare Research and Quality (US),2001,NBK33834,2012-07-09 18:46:34
72/e6/erta46_NBK33857.tar.gz,Impact of Cancer-Related Decision Aids,Agency for Healthcare Research and Quality (US),2002,NBK33857,2012-07-09 18:41:03
3a/b9/erta47_NBK33881.tar.gz,Systems to Rate the Strength Of Scientific Evidence,Agency for Healthcare Research and Quality (US),2002,NBK33881,2012-07-09 18:46:50
e7/cc/erta48_NBK33889.tar.gz,Cardiovascular Effects of Epinephrine on Hypertensive Dental Patients,Agency for Healthcare Research and Quality (US),2002,NBK33889,2012-07-09 18:41:32
9a/f8/erta49_NBK33912.tar.gz,Effectiveness and Cost-Effectiveness of Echocardiography and Carotid Imaging in the Management of Stroke,Agency for Healthcare Research and Quality (US),2002,NBK33912,2012-07-09 18:38:00
79/5a/erta50_NBK33925.tar.gz,Endoscopic Retrograde Cholangiopancreatography,Agency for Healthcare Research and Quality (US),2002,NBK33925,2012-07-09 18:44:10
7e/d7/es56_NBK33934.tar.gz,Evidence for the Reaffirmation of the U.S. Preventive Services Task Force Recommendation on Screening for High Blood Pressure,Agency for Healthcare Research and Quality (US),2007,NBK33934,2015-11-13 02:37:21
27/ee/es57_NBK33948.tar.gz,Screening and Treatment for Bacterial Vaginosis in Pregnancy: Systematic Review to Update the 2001 U.S. Preventive Services Task Force Recommendation,Agency for Healthcare Research and Quality (US),2008,NBK33948,2015-11-13 02:37:13
c9/d1/es58v1_NBK33960.tar.gz,Screening in Primary Care Settings for Illicit Drug Use: Staged Systematic Review for the United States Preventive Services Task Force,Agency for Healthcare Research and Quality (US),2008,NBK33960,2015-11-13 02:37:16
63/60/es59_NBK33976.tar.gz,Screening for Chronic Obstructive Pulmonary Disease Using Spirometry: Summary of the Evidence for the U.S. Preventive Services Task Force,Agency for Healthcare Research and Quality (US),2008,NBK33976,2012-07-09 18:40:35
f6/3e/es61_NBK33981.tar.gz,Screening for Type 2 Diabetes Mellitus: Update of 2003 Systematic Evidence Review for the U.S. Preventive Services Task Force,Agency for Healthcare Research and Quality (US),2008,NBK33981,2012-07-09 18:41:54
ae/66/es62_NBK33992.tar.gz,Universal Newborn Hearing Screening: Systematic Review to Update the 2001 U.S. Preventive Services Task Force Recommendation,Agency for Healthcare Research and Quality (US),2008,NBK33992,2015-11-13 02:37:12
54/e6/es64_NBK34003.tar.gz,Behavioral Counseling to Prevent Sexually Transmitted Infections,Agency for Healthcare Research and Quality (US),2008,NBK34003,2015-11-13 02:37:18
7c/1e/es65v2_NBK34013.tar.gz,"Evaluating Test Strategies for Colorectal Cancer Screening-Age to Begin, Age to Stop, and Timing of Screening Intervals",Agency for Healthcare Research and Quality (US),2009,NBK34013,2016-02-14 02:46:27
e6/3c/es51_NBK34023.tar.gz,Primary Care Interventions to Prevent Motor Vehicle Occupant Injuries,Agency for Healthcare Research and Quality (US),2007,NBK34023,2015-11-13 02:37:15
96/66/es72_NBK34036.tar.gz,Screening for Bilirubin Encephalopathy,Agency for Healthcare Research and Quality (US),2009,NBK34036,2012-07-09 18:42:17
52/e4/es67_NBK34051.tar.gz,Screening for Skin Cancer: An Update of the Evidence for the U.S. Preventive Services Task Force,Agency for Healthcare Research and Quality (US),2009,NBK34051,2015-11-13 02:37:18
ac/ad/es69_NBK35127.tar.gz,Screening for Child and Adolescent Depression In Primary Care Settings: A Systematic Evidence Review for the U.S. Preventive Services Task Force,Agency for Healthcare Research and Quality (US),2009,NBK35127,2013-06-17 18:37:20
14/91/erta104_NBK35149.tar.gz,Celiac Disease,Agency for Healthcare Research and Quality (US),2004,NBK35149,2012-07-09 18:40:08
81/6d/es66_NBK35168.tar.gz,Interventions in Primary Care to Promote Breastfeeding: A Systematic Review,Agency for Healthcare Research and Quality (US),2008,NBK35168,2015-11-13 02:37:20
52/03/es65v1_NBK35179.tar.gz,Screening for Colorectal Cancer: An Updated Systematic Review,Agency for Healthcare Research and Quality (US),2008,NBK35179,2015-11-13 02:37:20
69/66/es71_NBK35192.tar.gz,Screening for Visual Impairment in Older Adults: Systematic Review to Update the 1996 U.S. Preventive Services Task Force Recommendation,Agency for Healthcare Research and Quality (US),2009,NBK35192,2015-11-13 02:37:12
a6/0b/es68_NBK35203.tar.gz,Aspirin for the Primary Prevention of Cardiovascular Events: An Update of the Evidence for the U.S. Preventive Services Task Force,Agency for Healthcare Research and Quality (US),2009,NBK35203,2015-11-13 02:37:16
f9/1d/es73_NBK35208.tar.gz,Screening for Intermediate Risk Factors for Coronary Heart Disease,Agency for Healthcare Research and Quality (US),2009,NBK35208,2012-07-09 18:44:41
28/52/es74_NBK36392.tar.gz,Screening for Breast Cancer: Systematic Evidence Review Update for the US Preventive Services Task Force,Agency for Healthcare Research and Quality (US),2009,NBK36392,2012-07-09 18:41:09
d2/82/es75_NBK36403.tar.gz,Screening for Depression in Adults and Older Adults in Primary Care: An Updated Systematic Review,Agency for Healthcare Research and Quality (US),2009,NBK36403,2015-11-14 02:37:10
28/71/es76_NBK36416.tar.gz,"Effectiveness of Primary Care Interventions for Weight Management in Children and Adolescents: An Updated, Targeted Systematic Review for the USPSTF",Agency for Healthcare Research and Quality (US),2010,NBK36416,2012-07-09 18:40:20
d1/d8/cer17_NBK36430.tar.gz,Comparative Effectiveness of Medications To Reduce Risk of Primary Breast Cancer in Women,Agency for Healthcare Research and Quality (US),2009,NBK36430,2016-04-22 02:37:24
51/c1/cer18_NBK36476.tar.gz,Comparative Effectiveness of Angiotensin Converting Enzyme Inhibitors or Angiotensin II Receptor Blockers Added to Standard Medical Therapy for Treating Stable Ischemic Heart Disease,Agency for Healthcare Research and Quality (US),2009,NBK36476,2016-04-22 02:37:20
98/75/erta24s_NBK36492.tar.gz,"Telemedicine for the Medicare Population: Pediatric, Obstetric, and Clinician-Indirect Home Interventions in Telemedicine (Supplement)",Agency for Healthcare Research and Quality (US),2001,NBK36492,2012-07-09 18:37:13
a7/1a/erta51_NBK36521.tar.gz,Training of Clinicians for Public Health Events Relevant to Bioterrorism Preparedness,Agency for Healthcare Research and Quality (US),2002,NBK36521,2012-07-09 18:42:21
fd/a8/erta54_NBK36530.tar.gz,Management of Allergic and Nonallergic Rhinitis,Agency for Healthcare Research and Quality (US),2002,NBK36530,2012-07-09 18:40:39
8d/34/erta52_NBK36544.tar.gz,Criteria for Determining Disability in Speech-Language Disorders,Agency for Healthcare Research and Quality (US),2002,NBK36544,2012-07-09 18:42:39
8f/b6/erta56_NBK36558.tar.gz,Management of Clinically Inapparent Adrenal Mass,Agency for Healthcare Research and Quality (US),2002,NBK36558,2012-07-09 18:45:10
12/93/erta55_NBK36584.tar.gz,"Diagnosis, Natural History, and Late Effects of Otitis Media With Effusion",Agency for Healthcare Research and Quality (US),2003,NBK36584,2012-07-09 18:45:47
4d/c7/erta57_NBK36609.tar.gz,Diagnosis and Treatment of Parkinson's Disease: A Systematic Review of the Literature,Agency for Healthcare Research and Quality (US),2003,NBK36609,2012-07-09 18:41:50
36/28/erta58_NBK36626.tar.gz,The Autopsy as an Outcome and Performance Measure,Agency for Healthcare Research and Quality (US),2002,NBK36626,2016-02-14 02:40:38
d5/df/erta59_NBK36646.tar.gz,Bioterrorism Preparedness and Response: Use of Information Technologies and Decision Support Systems,Agency for Healthcare Research and Quality (US),2002,NBK36646,2012-07-09 18:38:46
